Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Label
53,206,2,2,68,132,34,34,34.0,0.0,0
443,676974,9,6,1697,1221,1349,0,188.5555555556,441.1349314867,0
443,63161627,7,0,0,0,0,0,0.0,0.0,0
53,79283,1,1,56,137,56,56,56.0,0.0,0
443,294065,19,29,871,39643,389,0,45.84210526,105.6873077,0
53,61032,4,2,120,264,30,30,30.0,0.0,0
22,1286956,41,42,2728,6634,456,0,66.53658537,110.1299454,0
53,30698,2,2,72,256,36,36,36.0,0.0,0
60741,40,1,1,0,0,0,0,0.0,0.0,0
443,225096,8,7,382,3788,201,0,47.75,74.77728838,0
53,24216,2,2,60,414,30,30,30.0,0.0,0
50513,103,1,1,0,0,0,0,0.0,0.0,0
443,117549602,20,26,909,22291,206,0,45.45,67.4938398749,0
53,47804,1,1,94,176,94,94,94.0,0.0,0
53,175,2,2,86,164,43,43,43.0,0.0,0
3268,111798618,50,29,10616,7950,1325,0,212.32,297.1889689,0
443,498,3,1,18,0,6,6,6.0,0.0,0
22,1327248,35,42,2622,7038,408,0,74.91428571,105.2809606,0
53,131315,1,1,46,98,46,46,46.0,0.0,0
41436,55,1,1,0,0,0,0,0.0,0.0,0
53,64082,1,1,57,185,57,57,57.0,0.0,0
80,46344834,9,9,432,1963,432,0,48.0,144.0,0
443,16005252,2,0,12,0,6,6,6.0,0.0,0
54184,133,1,1,0,0,0,0,0.0,0.0,0
53,204,2,2,64,176,32,32,32.0,0.0,0
55717,3,2,0,12,0,6,6,6.0,0.0,0
443,69360694,23,23,2137,9288,339,0,92.91304348,127.8642437,0
53,23769,2,2,76,204,38,38,38.0,0.0,0
443,2025710,8,11,737,4911,385,0,92.125,139.9759545677,0
53,176,2,2,78,142,39,39,39.0,0.0,0
53,61182,2,2,62,244,31,31,31.0,0.0,0
61101,50,3,1,43,6,31,6,14.33333333,14.43375673,0
80,340,2,0,12,0,6,6,6.0,0.0,0
53,48927,2,2,70,198,35,35,35.0,0.0,0
41965,79,1,1,0,0,0,0,0.0,0.0,0
53,368,2,2,78,342,39,39,39.0,0.0,0
53,116321,2,2,74,206,37,37,37.0,0.0,0
443,48,2,1,12,0,6,6,6.0,0.0,0
50941,257,3,2,76,12,45,0,25.33333333,23.02896727,0
53,70523,1,1,48,157,48,48,48.0,0.0,0
53,215293,4,4,156,320,39,39,39.0,0.0,0
53,135,2,2,80,112,40,40,40.0,0.0,0
53472,4,3,0,83,0,46,6,27.66666667,20.20725942,0
443,60691403,17,12,1663,3948,1353,0,97.82352941,327.648866,0
443,775240,11,12,5759,16096,3457,0,523.5454545,1064.922379,0
443,30859,3,3,86,7,86,0,28.6666666667,49.6521231503,0
53,23784,2,2,84,214,42,42,42.0,0.0,0
53,161,2,2,64,120,32,32,32.0,0.0,0
80,81,2,0,12,0,6,6,6.0,0.0,0
49272,4,2,0,12,0,6,6,6.0,0.0,0
2065,60,1,1,2,6,2,2,2.0,0.0,1
80,5,2,0,0,0,0,0,0.0,0.0,1
80,150549,3,5,352,11595,352,0,117.3333333,203.2272948,1
80,86025286,8,7,374,11595,374,0,46.75,132.2289681,1
80,5,2,0,0,0,0,0,0.0,0.0,1
1105,49,1,1,2,6,2,2,2.0,0.0,1
80,158281,3,6,26,11607,20,0,8.666666667,10.26320288,1
21,244,2,1,14,0,14,0,7.0,9.899494937,1
80,83691161,8,6,722,11595,349,0,90.25,159.7254341,1
80,86630232,9,6,363,11595,363,0,40.33333333,121.0,1
5800,44,1,1,2,6,2,2,2.0,0.0,1
80,83500225,7,5,365,11595,359,0,52.14285714,135.329756,1
80,1561323,3,6,26,11607,20,0,8.666666667,10.26320288,1
80,109505008,4,3,524,0,520,0,131.0,259.3401884,1
80,98384835,6,7,341,11595,323,0,56.83333333,130.42763,1
80,89386886,8,5,56,11607,20,0,7.0,5.656854249,1
80,85832663,9,5,361,11595,355,0,40.11111111,118.1000047,1
80,84895130,6,6,411,11595,411,0,68.5,167.7900474,1
80,11350259,8,5,396,11632,396,0,49.5,140.0071427,1
80,56548,3,6,415,11595,415,0,138.3333333,239.6003617,1
80,68526602,7,7,336,11595,318,0,48.0,119.0965994,1
80,362701,3,6,26,11607,20,0,8.666666667,10.26320288,1
80,83024399,8,7,347,11595,347,0,43.375,122.6830265,1
80,744911,3,6,26,11607,20,0,8.666666667,10.26320288,1
80,101027635,6,7,347,11595,329,0,57.83333333,132.8765091,1
9415,42,1,1,0,6,0,0,0.0,0.0,1
80,31030,3,5,26,11601,20,0,8.666666667,10.26320288,1
80,100164634,7,5,359,11595,353,0,51.28571429,133.062284,1
80,1279057,3,7,26,11601,20,0,8.666666667,10.26320288,1
80,85795294,4,6,313,11595,307,0,78.25,152.5262273,1
80,84812888,7,6,316,11595,310,0,45.14285714,116.812426,1
1201,54,1,1,2,6,2,2,2.0,0.0,1
80,100960259,11,6,1268,11595,317,0,115.2727273,159.9344184,1
80,640517,3,5,26,11607,20,0,8.666666667,10.26320288,1
80,1021821,4,0,24,0,6,6,6.0,0.0,1
31337,72,1,1,2,6,2,2,2.0,0.0,1
80,98339814,8,6,365,11595,359,0,45.625,126.640027,1
80,1791983,5,0,30,0,6,6,6.0,0.0,1
80,63102654,7,0,0,0,0,0,0.0,0.0,1
5357,74,1,1,0,6,0,0,0.0,0.0,1
80,99572688,7,6,425,11595,419,0,60.71428571,158.0049728,1
2638,62,1,1,0,6,0,0,0.0,0.0,1
2111,64,1,1,0,6,0,0,0.0,0.0,1
80,675920,3,6,26,11601,20,0,8.666666667,10.26320288,1
80,101425539,7,5,363,11595,363,0,51.85714286,137.2011037,1
21,9439481,9,15,107,188,24,0,11.88888889,9.597453366,1
80,4,2,0,0,0,0,0,0.0,0.0,1
80,63110303,7,0,0,0,0,0,0.0,0.0,1
3905,72,1,1,0,6,0,0,0.0,0.0,1
10004,42,1,1,2,6,2,2,2.0,0.0,1
