Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Label
38345,11045994,1,5,6,30,6,6,6.0,0.0,BENIGN
80,153148,3,0,0,0,0,0,0.0,0.0,BENIGN
443,61229688,20,18,2482,7584,596,0,124.1,186.5213125,BENIGN
53,1168,2,2,94,220,47,47,47.0,0.0,BENIGN
42657,43,1,1,0,0,0,0,0.0,0.0,BENIGN
443,781673,24,32,1111,56737,517,0,46.29166667,131.5639964,BENIGN
44135,42,1,1,0,0,0,0,0.0,0.0,BENIGN
64969,3,2,0,12,0,6,6,6.0,0.0,BENIGN
56269,722,1,1,0,0,0,0,0.0,0.0,BENIGN
80,4,2,0,0,0,0,0,0.0,0.0,DoS Hulk
53,69916,1,1,44,86,44,44,44.0,0.0,BENIGN
53,30960,2,2,76,244,38,38,38.0,0.0,BENIGN
53,81243,1,1,56,84,56,56,56.0,0.0,BENIGN
443,118436792,716,970,13415,1926867,836,0,18.73603352,68.73361074,BENIGN
80,4,2,0,0,0,0,0,0.0,0.0,DoS Hulk
10024,66,1,1,2,6,2,2,2.0,0.0,PortScan
42624,67,1,1,0,0,0,0,0.0,0.0,BENIGN
53,53627,4,4,152,476,38,38,38.0,0.0,BENIGN
53229,35,1,1,6,6,6,6,6.0,0.0,BENIGN
53,47021,2,2,88,168,44,44,44.0,0.0,BENIGN
5988,43,1,1,0,6,0,0,0.0,0.0,PortScan
53,50069,2,2,66,98,33,33,33.0,0.0,BENIGN
443,35879463,16,15,6274,5983,2849,0,392.125,781.9871162622,BENIGN
443,116295949,47,48,682,69889,335,0,14.5106383,58.09769596,BENIGN
44571,51,1,1,0,0,0,0,0.0,0.0,BENIGN
53,517,1,1,58,139,58,58,58.0,0.0,BENIGN
443,5148424,10,8,405,6403,212,0,40.5,78.70232243,BENIGN
80,132,2,0,0,0,0,0,0.0,0.0,BENIGN
443,321508,11,7,726,785,453,0,66.0,135.3868531284,BENIGN
